






189it [00:13, 13.97it/s]






189it [00:12, 15.14it/s]







189it [00:12, 15.35it/s]






189it [00:12, 15.42it/s]






189it [00:12, 15.64it/s]






189it [00:12, 15.34it/s]






189it [00:12, 15.48it/s]







189it [00:12, 15.54it/s]






189it [00:12, 15.50it/s]






189it [00:12, 15.51it/s]






189it [00:12, 15.61it/s]






189it [00:12, 15.65it/s]






189it [00:12, 15.46it/s]






189it [00:12, 15.49it/s]






189it [00:12, 15.61it/s]






189it [00:12, 15.59it/s]






189it [00:12, 15.46it/s]






189it [00:12, 15.19it/s]






189it [00:12, 15.26it/s]






189it [00:12, 15.32it/s]






189it [00:12, 15.52it/s]






189it [00:12, 15.35it/s]






189it [00:12, 15.44it/s]






189it [00:12, 15.63it/s]






189it [00:12, 15.45it/s]






189it [00:12, 15.13it/s]







189it [00:12, 15.24it/s]






189it [00:12, 15.23it/s]







189it [00:12, 15.47it/s]






189it [00:12, 15.45it/s]






189it [00:12, 15.51it/s]



